Item,Condition,Subject,timeReceipt,IbexItemNum,Block,WordNum,Word,EventTime,CondCode,Critical,Correct,QuestionText,QuestionCondition,ReadingTime,Sentence,Region,ReactionTime,Accuracy,PlausibilityRating,Verb,Target,Distractor,Last_Mentioned,Cloze,Cloze_distractor,Cloze_C_alternative,Plaus_target,Plaus_distractor,Surprisal_target,Surprisal_distractor,precritRT
1,A,2,1691308890,107,3,8,danach,1691308647237,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,684,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Post-spillover,2420,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,334
1,A,2,1691308890,107,3,7,und,1691308647237,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,348,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Spillover,2420,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,334
1,A,2,1691308890,107,3,6,Touristen,1691308647237,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,823,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Critical,2420,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,334
1,A,2,1691308890,107,3,5,den,1691308647237,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,334,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical,2420,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,334
1,A,2,1691308890,107,3,4,Dame,1691308647237,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,168,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical_2,2420,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,334
1,A,4,1691341293,107,3,4,Dame,1691340917333,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,216,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical_2,1969,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,228
1,A,4,1691341293,107,3,5,den,1691340917333,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,228,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical,1969,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,228
1,A,4,1691341293,107,3,6,Touristen,1691340917333,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,231,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Critical,1969,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,228
1,A,4,1691341293,107,3,7,und,1691340917333,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,244,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Spillover,1969,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,228
1,A,4,1691341293,107,3,8,danach,1691340917333,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,556,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Post-spillover,1969,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,228
1,A,7,1691312060,107,3,4,Dame,1691311751930,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,465,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical_2,2089,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,331
1,A,7,1691312060,107,3,5,den,1691311751930,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,331,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Pre-critical,2089,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,331
1,A,7,1691312060,107,3,6,Touristen,1691311751930,151,6,K,War der Koffer am Anfang zu schwer?,paragraph,339,Dann verabschiedete die Dame den Touristen und danach ging er zum Gate.,Critical,2089,1,7,verabschiedete,Touristen,Koffer,target,0.6,0,,5.8,3.1,2.503722429,1.063010693,331
